,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
318,229950.0,1 bedroom apartment for sale,"The Edge, Clowes Street, Salford, M3 5NB",http://www.rightmove.co.uk/property-for-sale/property-70170212.html,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Manchester-12293.html,M3,1,2019-02-12 13:46:51.052714
319,,1 bedroom apartment for sale,"Ancoats, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75418601.html,http://www.rightmove.co.uk/estate-agents/agent/Surrenden-Invest/London-149897.html,,1,2019-02-12 13:46:51.052714
320,229000.0,3 bedroom apartment for sale,"Stockport Road, Manchester, Greater Manchester, M12",http://www.rightmove.co.uk/property-for-sale/property-77905904.html,http://www.rightmove.co.uk/estate-agents/agent/Indlu/Manchester-76032.html,M12,3,2019-02-12 13:46:51.052714
321,229000.0,3 bedroom apartment for sale,"Stockport Road, Manchester, Greater Manchester, M12",http://www.rightmove.co.uk/property-for-sale/property-77895080.html,http://www.rightmove.co.uk/estate-agents/agent/Hopwood-House/Manchester-122413.html,M12,3,2019-02-12 13:46:51.052714
322,229000.0,2 bedroom apartment for sale,"THE ART HOUSE, GEORGE STREET",http://www.rightmove.co.uk/property-for-sale/property-60079464.html,http://www.rightmove.co.uk/estate-agents/agent/The-Good-Estate-Agency/Manchester-106691.html,,2,2019-02-12 13:46:51.052714
323,229000.0,2 bedroom house for sale,"Hill Quay, Jordan Street, Deansgate, Manchester M15",http://www.rightmove.co.uk/property-for-sale/property-59422191.html,http://www.rightmove.co.uk/estate-agents/agent/Ernest-Brooks-International/London-162914.html,M15,2,2019-02-12 13:46:51.052714
324,228000.0,2 bedroom apartment for sale,"Sackville Place, Bombay Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-79383323.html,http://www.rightmove.co.uk/estate-agents/agent/Kaytons-Estate-Agents/Manchester-94652.html,,2,2019-02-12 13:46:51.052714
325,190000.0,1 bedroom flat for sale,"Jordan Street, Manchester, Greater Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-78789425.html,http://www.rightmove.co.uk/estate-agents/agent/Alesco-Investment-Properties/London-168287.html,M15,1,2019-02-12 13:46:51.052714
326,225000.0,2 bedroom flat for sale,"The Met, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75005342.html,http://www.rightmove.co.uk/estate-agents/agent/HSI-Properties/Liverpool-105586.html,,2,2019-02-12 13:46:51.052714
327,225000.0,2 bedroom apartment for sale,"Hill Quays, Commercial Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-77042582.html,http://www.rightmove.co.uk/estate-agents/agent/Premier-Residential-Lettings-Ltd/Manchester-120640.html,,2,2019-02-12 13:46:51.052714
328,225000.0,1 bedroom apartment for sale,"Royal Mill, Manchester",http://www.rightmove.co.uk/property-for-sale/property-69246871.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,1,2019-02-12 13:46:51.052714
329,225000.0,2 bedroom apartment for sale,"The Linx, Simpson Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-58067319.html,http://www.rightmove.co.uk/estate-agents/agent/JLL/Manchester-10733.html,M4,2,2019-02-12 13:46:51.052714
330,225000.0,1 bedroom flat for sale,"Sackville Street, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-57006231.html,http://www.rightmove.co.uk/estate-agents/agent/Housesimplecom/Manchester-74064.html,M1,1,2019-02-12 13:46:51.052714
331,224995.0,2 bedroom apartment for sale,"25 Church Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-76555469.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M4,2,2019-02-12 13:46:51.052714
332,224950.0,2 bedroom apartment for sale,"Citygate 2, 3 Blantyre Street, Castlefield",http://www.rightmove.co.uk/property-for-sale/property-77256386.html,http://www.rightmove.co.uk/estate-agents/agent/Buckley-Frayne/Manchester-72413.html,,2,2019-02-12 13:46:51.052714
333,224950.0,2 bedroom apartment for sale,"Vantage Quay, Brewer Street, Northern Quarter, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-77705636.html,http://www.rightmove.co.uk/estate-agents/agent/Thornley-Groves/Manchester-Southern-Gateway-12532.html,M1,2,2019-02-12 13:46:51.052714
334,224950.0,2 bedroom apartment for sale,"Potato Wharf, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-59403789.html,http://www.rightmove.co.uk/estate-agents/agent/JLL/Manchester-10733.html,M3,2,2019-02-12 13:46:51.052714
335,224950.0,2 bedroom apartment for sale,"3 Dale Street, Manchester",http://www.rightmove.co.uk/property-for-sale/property-75448058.html,http://www.rightmove.co.uk/estate-agents/agent/Pad-Residential/Manchester-6465.html,,2,2019-02-12 13:46:51.052714
336,224950.0,2 bedroom apartment for sale,"City South, City Road East, Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-78268751.html,http://www.rightmove.co.uk/estate-agents/agent/JLL/Manchester-10733.html,M15,2,2019-02-12 13:46:51.052714
337,220000.0,2 bedroom apartment for sale,"151 Great Ancoats Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-70949099.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M4,2,2019-02-12 13:46:51.052714
338,220000.0,1 bedroom apartment for sale,"Leftbank, Manchester City Centre, Manchester",http://www.rightmove.co.uk/property-for-sale/property-66151795.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,1,2019-02-12 13:46:51.052714
